date,spx,dji,ixic,rut
1998-12-04,1176.74,9016.1396,2003.16,398.37
1998-12-07,1187.7,9070.4697,2040.64,401.17
1998-12-08,1181.38,9027.9805,2034.75,401.48
1998-12-09,1183.49,9009.1904,2050.4199,401.96
1998-12-10,1165.02,8841.5801,2015.96,396.5
1998-12-11,1166.46,8821.7598,2029.3101,395.37
1998-12-14,1141.2,8695.5996,1966.92,387.94
1998-12-15,1162.83,8823.2998,2012.6,389.57
1998-12-16,1161.9399,8790.5996,2009.36,389.85
1998-12-17,1179.98,8875.8203,2043.88,393.78
1998-12-18,1188.03,8903.6299,2086.1399,397.42
1998-12-21,1202.84,8988.8496,2138.03,401.83
1998-12-22,1203.5699,9044.46,2120.98,400.24
1998-12-23,1228.54,9202.0303,2172.54,404.79
1998-12-24,1226.27,9217.9902,2163.04,405.56
1998-12-28,1225.49,9226.75,2180.3,408.28
1998-12-29,1241.8101,9320.9805,2181.77,410.41
1998-12-30,1231.9301,9274.6396,2166.95,411.91
1998-12-31,1229.23,9181.4297,2192.6899,421.96
1999-01-04,1228.1,9184.2695,2208.05,421.26
1999-01-05,1244.78,9311.1904,2251.27,422.09
1999-01-06,1272.34,9544.9697,2320.8601,427.79
1999-01-07,1269.73,9537.7598,2326.0901,427.83
1999-01-08,1275.09,9643.3203,2344.4099,431.23
1999-01-11,1263.88,9619.8896,2384.5901,433.13
1999-01-12,1239.51,9474.6797,2320.75,427.36
1999-01-13,1234.4,9349.5596,2316.8101,424.86
1999-01-14,1212.1899,9120.9297,2276.8201,420.1
1999-01-15,1243.26,9340.5498,2348.2,427.05
1999-01-19,1252.0,9355.2197,2408.1699,430.89
1999-01-20,1256.62,9335.9102,2415.49,430.62
1999-01-21,1235.16,9264.0801,2344.72,424.05
1999-01-22,1225.1899,9120.6699,2338.8799,422.44
1999-01-25,1233.98,9203.3203,2369.3101,422.11
1999-01-26,1252.3101,9324.5801,2433.4099,425.33
1999-01-27,1243.17,9200.2305,2407.1399,421.12
1999-01-28,1265.37,9281.3301,2477.3401,423.97
1999-01-29,1279.64,9358.8301,2505.8899,427.22
